,Current_Ranking,Player_Name,Team,Position,Games_Played,Minutes_per_Game,Points_per_Game,Field_Goals_Made_per_Game,Field_Goals_Attempted_per_Game,Field_Goals_Percentage_per_Game,3Pointers_Made_per_Game,3Pointers_Attempted_per_Game,3Pointers_Percentage_per_Game,Free_Throws_Made_per_Game,Free_Throws_Attempted_per_Game,Free_Throws_Percentage_per_Game,Rebounds_per_Game,Assists_per_Game,Steals_per_Game,Blocks_per_Game,Turnovers_per_Game,Total_Double_Doubles,Total_Triple_Doubles
0,1,Luka Doncic,DAL,PG,23,36.8,32.9,11.3,22.4,50.3,2.8,8.1,34.8,7.5,10.4,72.4,8.6,8.7,1.7,0.7,3.7,12,6
1,2,Giannis Antetokounmpo,MIL,PF,19,32.9,31.9,11.7,21.6,54.4,0.8,3.3,23.8,7.6,12.3,62.0,11.3,5.5,0.8,1.1,3.7,13,1
2,3,Shai Gilgeous-Alexander,OKC,PG,22,35.7,31.3,10.7,21.1,50.6,1.0,3.0,32.8,9.0,9.6,92.9,4.8,6.0,1.8,1.1,3.3,1,0
3,4,Jayson Tatum,BOS,SF,24,37.0,30.8,10.1,21.0,48.0,3.4,9.4,36.4,7.2,8.3,86.9,8.3,4.2,1.0,1.0,2.8,12,0
4,5,Stephen Curry,GS,PG,23,34.8,30.0,10.1,20.3,49.9,5.1,11.8,43.2,4.6,5.1,90.6,6.6,7.0,1.0,0.3,3.1,7,1
5,6,Kevin Durant,BKN,PF,25,36.9,29.9,10.6,19.2,55.3,1.6,4.6,33.9,7.1,7.8,91.8,6.6,5.4,0.7,1.8,3.4,2,1
6,7,Donovan Mitchell,CLE,SG,23,36.7,29.0,10.1,20.4,49.6,3.9,9.1,42.4,4.9,5.5,89.0,4.0,4.9,1.5,0.4,3.0,2,0
7,8,Ja Morant,MEM,PG,20,33.3,28.5,9.9,21.4,46.4,1.9,5.0,37.0,6.8,9.2,74.3,6.3,7.5,1.1,0.3,3.8,6,1
8,9,Devin Booker,PHX,SG,24,35.8,28.4,10.2,20.8,48.8,2.4,6.1,39.0,5.7,6.5,87.2,4.9,5.9,1.0,0.4,2.5,3,0
9,10,Trae Young,ATL,PG,22,35.5,27.6,8.8,21.6,40.8,2.2,7.4,29.6,7.8,8.6,90.0,2.9,9.6,0.7,0.1,3.5,12,0
10,11,Anthony Davis,LAL,PF,21,33.3,27.3,10.3,17.5,59.0,0.4,1.3,33.3,6.2,7.5,82.3,12.3,2.6,1.3,2.3,1.9,15,0
11,12,Jaylen Brown,BOS,SG,23,35.9,26.7,9.9,19.7,50.4,2.4,6.8,35.0,4.5,5.4,83.2,7.1,3.7,1.0,0.4,3.1,4,0
12,13,LeBron James,LAL,SF,17,35.4,25.8,10.1,21.6,46.6,2.4,7.3,33.1,3.3,4.6,71.8,9.1,6.4,1.2,0.6,3.4,7,0
13,14,DeMar DeRozan,CHI,SF,23,34.8,25.5,9.0,18.0,50.2,0.4,1.4,31.3,7.0,7.9,88.4,4.4,4.7,0.9,0.4,2.0,0,0
14,15,Anfernee Simons,POR,SG,22,37.1,24.7,8.5,19.2,44.3,4.2,10.6,39.7,3.5,3.9,89.4,3.0,4.5,1.0,0.3,2.2,0,0
15,16,Zion Williamson,NO,PF,18,32.0,23.6,9.1,15.3,59.1,0.2,0.6,27.3,5.3,7.3,72.7,7.1,4.3,1.3,0.6,2.7,4,0
16,17,De'Aaron Fox,SAC,PG,21,31.7,23.1,8.6,16.6,51.6,1.9,5.0,38.1,4.1,5.0,81.9,5.1,5.8,1.1,0.5,2.6,3,0
17,18,Nikola Jokic,DEN,C,21,32.2,23.0,8.6,13.7,63.1,0.8,2.4,32.0,5.0,6.2,80.8,10.0,8.9,1.3,0.6,3.2,15,3
18,18,Anthony Edwards,MIN,SG,23,36.5,23.0,8.3,18.1,46.2,2.6,7.4,34.5,3.7,4.9,76.1,5.6,3.8,1.7,0.4,3.2,1,0
19,20,Jerami Grant,POR,SF,23,36.3,23.0,7.5,15.7,47.5,2.8,6.1,46.1,5.2,6.7,77.8,4.1,2.8,0.8,0.9,1.9,0,0
20,21,Bradley Beal,WSH,SG,18,35.1,22.9,8.7,16.6,52.2,1.7,4.9,35.2,3.8,4.4,87.3,3.7,5.4,1.2,0.6,2.8,0,0
21,22,Lauri Markkanen,UTAH,PF,26,33.9,22.2,8.0,15.1,52.8,2.7,6.4,41.3,3.7,4.4,83.3,8.5,2.2,0.6,0.7,2.2,10,0
22,23,Darius Garland,CLE,PG,19,36.0,22.2,7.5,17.3,43.5,2.7,6.9,39.7,4.4,5.1,86.5,2.2,7.9,1.2,0.2,3.2,6,0
23,24,Zach LaVine,CHI,SG,19,34.3,22.0,7.7,18.3,42.2,2.8,8.1,35.1,3.7,4.5,82.4,4.6,4.2,1.3,0.1,2.2,0,0
24,25,Kristaps Porzingis,WSH,C,23,32.5,21.8,7.3,15.7,46.8,2.1,5.9,35.6,5.0,6.3,79.5,8.8,2.5,0.8,1.5,1.8,8,0
25,26,Paolo Banchero,ORL,PF,18,34.4,21.7,7.3,16.3,44.9,0.9,3.6,24.6,6.2,8.4,73.0,6.8,3.8,0.8,0.6,2.9,4,0
26,27,Jalen Green,HOU,SG,24,34.7,21.6,7.3,17.7,41.5,2.4,7.5,31.8,4.5,5.7,79.6,4.0,4.0,0.8,0.2,3.3,0,0
27,28,Dejounte Murray,ATL,SG,24,36.9,21.5,8.5,18.9,45.2,2.2,6.0,36.6,2.3,2.7,83.1,5.7,6.5,1.8,0.5,2.7,3,1
28,29,Julius Randle,NY,PF,24,33.2,21.1,7.3,15.8,46.1,2.1,6.5,32.5,4.4,5.7,77.9,8.5,3.5,0.7,0.2,2.8,9,0
29,30,Jalen Brunson,NY,PG,24,32.3,21.0,7.5,15.6,48.3,1.4,4.2,34.0,4.5,5.2,87.2,3.4,6.3,1.0,0.2,1.8,2,0
30,31,Bojan Bogdanovic,DET,SF,25,31.6,21.0,7.1,13.6,51.9,2.6,5.8,44.1,4.3,4.9,87.7,3.6,2.6,0.6,0.0,2.3,0,0
31,32,Karl-Anthony Towns,MIN,C,21,33.8,20.8,7.3,14.4,50.5,1.8,5.6,32.5,4.4,5.0,88.5,8.2,5.3,0.8,0.7,3.1,8,0
32,33,Bam Adebayo,MIA,C,23,35.0,20.7,8.0,15.3,52.7,0.0,0.4,11.1,4.6,5.4,85.5,9.2,3.3,1.0,0.8,3.1,10,0
33,34,Kyle Kuzma,WSH,SF,23,34.5,20.6,7.8,17.0,45.9,2.2,7.3,30.5,2.7,3.7,73.8,7.7,3.6,0.4,0.5,2.5,5,0
34,35,Devin Vassell,SA,SG,19,32.5,20.5,7.5,16.4,45.7,3.1,7.4,41.8,2.5,3.1,81.0,4.2,3.6,0.7,0.4,1.6,0,0
35,36,Keldon Johnson,SA,SF,22,32.3,20.4,7.1,18.2,39.3,2.9,8.4,34.6,3.2,4.4,72.9,5.1,3.1,0.9,0.1,2.3,2,0
36,37,Kelly Oubre Jr.,CHA,SG,24,32.3,20.1,7.5,17.4,43.1,2.3,7.3,31.4,2.8,3.9,73.1,5.3,1.3,1.7,0.3,1.1,2,0
37,38,Jordan Clarkson,UTAH,PG,26,32.3,19.7,7.1,16.5,43.2,2.7,7.7,35.0,2.8,3.3,82.8,3.9,4.8,0.3,0.3,2.7,1,0
38,39,Franz Wagner,ORL,SF,25,33.2,19.3,7.2,14.4,49.6,1.3,4.0,32.7,3.6,4.2,86.7,4.1,3.8,0.8,0.2,2.8,0,0
39,40,Andrew Wiggins,GS,SF,22,32.8,19.1,7.4,14.5,51.1,3.0,6.8,45.0,1.2,2.0,62.8,5.1,2.2,1.4,0.8,1.4,2,0
40,40,Tyrese Haliburton,IND,PG,22,33.2,19.1,7.0,15.3,46.1,2.6,7.1,36.9,2.4,2.8,83.9,4.7,10.9,1.8,0.3,2.6,14,0
41,42,O.G. Anunoby,TOR,SF,24,36.5,19.1,7.3,15.0,48.2,1.6,4.6,34.2,3.0,3.6,82.8,5.8,2.2,2.3,0.9,2.6,2,0
42,43,Kevin Porter Jr.,HOU,SG,23,34.7,19.0,6.4,15.4,41.4,2.1,6.0,35.0,4.2,5.5,76.2,5.7,5.8,1.3,0.4,3.9,5,0
43,44,RJ Barrett,NY,SG,24,33.4,18.4,6.4,15.7,40.6,1.5,5.5,28.2,4.1,5.3,77.8,5.4,3.0,0.5,0.1,2.3,1,0
44,45,Bennedict Mathurin,IND,SG,24,28.5,18.3,5.7,13.7,41.6,2.0,5.3,37.5,4.9,6.1,80.1,3.8,1.5,0.6,0.1,1.8,0,0
45,46,Jrue Holiday,MIL,PG,18,32.4,18.3,6.9,15.6,44.6,2.1,6.3,33.6,2.3,2.6,89.1,5.2,7.5,1.6,0.5,3.3,6,0
46,47,Klay Thompson,GS,SG,20,30.4,18.0,6.4,15.8,40.2,3.9,10.0,39.0,1.4,1.7,84.8,3.6,2.5,0.6,0.4,1.6,0,0
47,48,Jamal Murray,DEN,PG,20,29.9,17.6,6.6,15.3,43.3,1.9,5.3,36.2,2.5,3.2,78.1,3.7,5.0,1.0,0.3,2.0,1,0
48,49,Myles Turner,IND,C,18,28.8,17.6,6.2,11.3,54.4,1.6,3.9,39.4,3.7,4.5,81.5,8.1,1.5,0.6,2.4,1.8,7,0
49,50,Dillon Brooks,MEM,SF,21,31.3,17.5,6.6,16.7,39.4,2.2,6.6,33.3,2.1,2.9,75.0,3.8,2.9,1.0,0.1,1.7,0,0
50,51,CJ McCollum,NO,SG,19,34.9,17.4,6.8,17.2,39.8,2.2,6.7,33.1,1.5,1.8,80.0,4.9,6.0,1.1,0.5,2.0,3,0
51,52,Deandre Ayton,PHX,C,22,29.0,17.1,7.4,11.9,62.2,0.2,0.6,30.8,2.1,2.9,73.0,9.6,2.1,0.5,0.9,1.9,11,0
52,53,Jordan Poole,GS,SG,25,27.5,17.0,6.0,13.7,43.6,2.4,7.2,33.3,2.6,3.2,83.5,2.0,4.5,0.8,0.3,2.9,0,0
53,54,Tobias Harris,PHI,PF,22,34.1,16.9,6.5,13.6,47.8,2.2,5.4,41.5,1.7,2.0,84.1,6.3,2.7,1.3,0.5,1.3,3,0
54,55,Buddy Hield,IND,SG,24,31.6,16.9,5.9,14.3,41.4,3.5,9.5,36.6,1.6,1.9,84.4,4.9,2.7,1.0,0.4,2.1,2,0
55,56,Domantas Sabonis,SAC,PF,22,32.0,16.7,6.0,10.1,59.9,0.5,1.2,37.0,4.2,5.5,75.4,11.0,6.5,0.7,0.5,2.5,14,1
56,57,Christian Wood,DAL,C,21,26.1,16.7,6.2,11.1,56.2,1.3,3.3,40.6,2.9,4.2,68.5,7.7,1.4,0.5,0.6,2.4,3,0
57,58,Gary Trent Jr.,TOR,SG,21,30.8,16.7,5.8,13.6,42.3,2.2,6.7,33.6,2.9,3.8,77.2,2.0,1.5,1.6,0.1,1.1,0,0
58,59,Aaron Gordon,DEN,PF,21,29.3,16.6,6.4,10.3,61.8,1.1,2.8,39.7,2.8,4.3,63.7,6.7,2.3,0.7,0.8,1.4,3,0
59,60,Spencer Dinwiddie,DAL,PG,24,31.5,16.3,5.8,12.7,45.7,2.6,6.4,40.9,2.1,2.5,83.6,3.1,5.0,1.0,0.3,1.5,0,0
60,60,Fred VanVleet,TOR,SG,18,36.6,16.3,5.3,14.8,35.7,2.8,8.2,34.0,3.0,3.6,84.4,3.6,6.4,1.7,0.5,1.8,1,0
61,62,Lonnie Walker IV,LAL,G,20,31.0,16.2,6.0,12.6,47.6,2.0,5.3,37.1,2.3,2.6,86.5,2.3,1.8,0.9,0.4,1.0,0,0
62,63,Mikal Bridges,PHX,SF,24,36.5,16.0,6.1,11.9,51.6,1.8,3.9,44.7,2.0,2.3,88.9,5.2,3.3,1.1,1.0,1.1,1,0
63,64,P.J. Washington,CHA,PF,24,32.3,15.9,5.9,13.8,42.7,2.0,5.8,34.5,2.1,2.6,81.0,4.7,2.3,0.8,1.0,1.9,1,0
64,65,Nikola Vucevic,CHI,C,23,32.0,15.8,6.1,12.7,47.8,1.6,4.5,34.6,2.0,2.4,85.5,11.0,2.8,0.5,0.7,2.0,12,0
65,66,Jaden Ivey,DET,PG,22,31.5,15.6,5.5,13.3,41.1,1.5,4.7,30.8,3.3,4.5,73.5,4.7,4.2,1.1,0.3,2.7,3,0
66,67,Kevin Huerter,SAC,SG,22,31.8,15.5,5.5,11.5,47.4,3.0,7.1,42.3,1.6,2.4,69.2,3.2,3.2,1.0,0.4,1.5,0,0
67,68,Brook Lopez,MIL,C,22,31.1,15.3,5.6,11.2,49.8,2.4,5.8,41.7,1.7,2.0,82.2,5.9,1.1,0.6,3.0,1.3,2,0
68,69,D'Angelo Russell,MIN,PG,23,31.5,15.0,5.5,12.7,43.6,1.9,6.0,31.9,2.0,2.6,78.0,3.3,6.7,1.3,0.6,2.7,4,0
69,70,De'Andre Hunter,ATL,SF,21,30.9,14.9,5.4,12.0,44.7,1.3,3.8,35.4,2.8,3.5,80.8,4.0,1.1,0.3,0.1,1.3,1,0
70,71,Alperen Sengun,HOU,C,21,26.8,14.9,5.7,10.3,55.6,0.2,1.0,19.0,3.2,4.1,79.1,8.6,2.2,0.8,1.0,2.3,6,0
71,72,Norman Powell,LAC,SF,22,25.3,14.8,5.1,11.2,45.9,1.6,4.3,37.9,2.9,3.7,78.0,2.9,1.5,0.8,0.3,1.8,0,0
72,73,Josh Giddey,OKC,SG,21,30.5,14.8,6.3,14.0,45.4,0.9,3.1,28.8,1.2,1.7,72.2,7.6,5.5,0.6,0.5,3.2,8,1
73,74,Malik Monk,SAC,SG,22,22.3,14.7,5.4,11.0,48.8,2.1,5.7,36.8,1.9,2.1,89.4,2.1,4.3,0.7,0.2,1.9,0,0
74,75,Evan Mobley,CLE,PF,25,34.0,14.7,6.1,10.8,56.3,0.2,0.9,21.7,2.3,3.4,67.4,9.3,2.4,0.9,1.5,2.0,9,0
75,76,Russell Westbrook,LAL,PG,22,27.9,14.6,5.4,13.2,40.7,1.2,3.9,30.2,2.7,4.0,69.0,5.2,7.5,0.9,0.5,3.5,7,0
76,77,Saddiq Bey,DET,SF,22,30.1,14.5,4.6,11.4,40.4,1.4,5.2,27.0,4.0,4.5,88.8,4.6,1.8,0.9,0.2,1.3,1,0
77,78,Max Strus,MIA,SG,23,32.9,14.5,5.1,12.2,42.0,3.0,8.3,35.6,1.3,1.5,85.7,3.5,1.7,0.9,0.3,1.2,0,0
78,79,Jusuf Nurkic,POR,C,21,29.7,14.5,5.5,10.7,51.1,0.7,1.7,42.9,2.8,4.0,70.2,10.0,2.8,0.7,0.9,2.4,8,0
79,79,Scottie Barnes,TOR,SF,21,33.1,14.5,5.9,13.0,45.3,1.2,3.9,32.1,1.4,2.1,66.7,6.8,5.0,1.0,0.9,2.5,5,1
80,81,Kyle Lowry,MIA,PG,25,36.3,14.4,4.3,10.8,39.6,2.3,6.7,34.7,3.5,4.1,85.3,5.0,6.0,1.2,0.6,2.5,2,1
81,82,Collin Sexton,UTAH,PG,26,24.4,14.2,4.9,10.0,49.4,0.9,2.5,36.4,3.5,4.2,83.3,2.5,3.0,0.6,0.1,1.8,1,0
82,83,Luguentz Dort,OKC,SF,24,30.6,14.2,5.0,12.3,40.5,1.7,5.3,32.0,2.5,3.3,77.2,4.6,2.3,1.2,0.4,1.5,1,0
83,84,Jarrett Allen,CLE,C,18,32.3,14.1,5.8,9.7,60.3,0.0,0.1,0.0,2.4,3.1,76.8,10.8,1.3,0.7,1.2,1.7,10,0
84,85,Malcolm Brogdon,BOS,PG,20,23.3,13.9,4.8,9.9,48.7,1.9,3.9,49.4,2.4,2.8,85.7,4.2,3.7,0.6,0.2,1.9,0,0
85,86,Bobby Portis,MIL,F,23,26.9,13.9,5.8,12.0,48.7,1.2,3.8,32.2,1.0,1.3,76.7,10.4,2.3,0.3,0.3,1.2,14,0
86,87,Marcus Morris Sr.,LAC,SF,23,30.0,13.6,5.3,11.9,44.5,2.0,5.4,36.8,1.0,1.3,74.2,4.9,2.0,0.8,0.3,0.9,1,0
87,88,Jonas Valanciunas,NO,C,23,23.0,13.4,5.1,9.2,55.5,0.7,1.6,41.7,2.6,3.1,83.1,9.0,2.0,0.3,0.3,1.9,9,0
88,89,Tim Hardaway Jr.,DAL,SF,23,25.2,13.3,4.2,11.3,37.3,2.8,7.6,37.4,2.0,2.5,82.5,2.6,2.0,0.9,0.2,1.0,0,0
89,90,Malik Beasley,UTAH,SG,26,26.5,13.3,4.7,11.6,40.9,3.1,8.1,38.6,0.7,0.8,90.0,3.8,1.5,1.0,0.2,0.9,1,0
90,91,Harrison Barnes,SAC,SF,22,30.6,13.2,4.1,8.4,48.9,1.0,3.3,30.1,4.0,4.8,84.0,5.5,1.9,0.9,0.1,1.2,0,0
91,92,Rudy Gobert,MIN,C,21,30.5,13.2,4.9,7.5,65.2,0.0,0.1,0.0,3.4,4.7,71.7,11.4,0.8,0.7,1.3,1.5,7,0
92,92,Trey Murphy III,NO,SG,21,28.4,13.2,4.5,9.3,48.2,2.4,5.9,41.1,1.8,1.9,95.0,4.3,1.3,1.2,0.5,0.8,1,0
93,94,Cameron Payne,PHX,PG,22,26.4,13.0,4.9,11.8,41.3,1.9,4.9,38.9,1.4,1.9,75.6,2.6,5.8,1.0,0.2,2.1,3,0
94,95,Kelly Olynyk,UTAH,PF,26,28.5,13.0,4.5,8.0,56.0,1.6,3.4,46.6,2.5,3.1,80.0,5.0,3.2,1.3,0.7,2.2,1,0
95,96,Jakob Poeltl,SA,C,20,27.3,12.9,5.7,8.9,64.0,0.0,0.0,0.0,1.5,2.8,51.8,9.9,3.5,0.9,1.0,2.4,6,0
96,97,John Wall,LAC,PG,20,22.1,12.8,4.5,10.4,43.3,0.9,3.3,27.3,2.9,4.4,66.7,2.6,5.7,0.9,0.3,2.4,1,0
97,98,Bol Bol,ORL,C,25,26.6,12.5,5.1,8.5,60.1,0.8,1.8,41.3,1.5,1.9,77.1,7.5,1.0,0.5,1.8,2.1,6,0
98,99,John Collins,ATL,PF,22,31.5,12.3,4.7,9.7,48.4,0.7,3.3,21.9,2.2,2.6,84.5,7.5,1.3,0.9,1.4,1.4,6,0
99,100,Eric Gordon,HOU,SG,20,30.1,12.3,4.1,9.4,43.6,1.9,5.4,35.2,2.2,2.6,86.3,2.0,2.6,0.7,0.4,1.9,0,0
100,101,Reggie Jackson,LAC,PG,25,29.3,12.3,4.6,10.9,42.1,1.6,4.5,34.8,1.5,1.7,88.4,2.6,4.3,0.6,0.1,2.3,1,0
101,102,Marcus Smart,BOS,PG,22,33.1,12.1,4.4,9.6,45.3,1.9,5.2,35.7,1.5,2.0,76.7,3.1,7.6,1.1,0.3,2.2,4,0
102,103,Tre Jones,SA,PG,23,30.2,12.1,4.5,10.9,41.6,0.8,2.6,30.5,2.3,2.5,91.2,3.4,6.9,1.5,0.2,2.0,2,0
103,104,Isaiah Stewart,DET,C,19,27.5,11.9,3.9,8.5,46.6,1.4,3.9,36.0,2.6,3.6,72.5,9.1,1.4,0.4,0.7,1.1,8,0
104,105,Jabari Smith Jr.,HOU,PF,23,30.2,11.8,3.9,10.7,36.7,2.1,6.0,35.5,1.9,2.2,84.3,7.0,0.7,0.3,1.0,1.1,4,0
105,106,Shake Milton,PHI,SG,20,24.3,11.8,4.6,8.8,52.3,0.9,2.3,39.1,1.7,1.9,86.8,3.4,3.6,0.4,0.2,1.9,1,0
106,106,Nic Claxton,BKN,PF,24,28.0,11.8,5.3,7.3,73.0,0.0,0.0,0.0,1.2,2.7,43.1,8.8,1.3,0.7,2.2,1.3,8,0
107,108,Clint Capela,ATL,C,22,27.9,11.6,5.3,8.6,61.4,0.0,0.0,0.0,1.0,1.9,56.1,12.2,0.7,0.6,1.4,1.0,13,0
108,109,Jaylen Nowell,MIN,SG,23,18.1,11.5,4.4,10.2,43.2,1.3,4.2,32.0,1.3,1.7,79.5,2.8,2.0,0.6,0.1,1.0,0,0
109,110,Jalen Smith,IND,PF,24,23.5,11.4,4.2,9.3,44.8,1.2,4.1,29.6,1.9,2.4,77.6,6.9,1.1,0.3,1.0,1.3,4,0
110,111,Bruce Brown,DEN,SF,24,30.0,11.3,4.4,9.4,47.1,1.4,3.4,40.7,1.0,1.2,89.3,4.5,4.5,1.1,0.5,1.8,3,1
111,111,Keegan Murray,SAC,SF,20,28.4,11.3,4.1,9.9,41.4,1.9,5.7,33.3,1.2,1.4,85.2,4.1,0.9,0.8,0.6,1.6,0,0
112,113,Chris Boucher,TOR,PF,20,23.0,11.2,3.9,8.6,45.6,0.9,3.0,28.3,2.6,3.6,71.8,6.3,0.7,0.8,0.8,0.8,4,0
113,113,Jaden McDaniels,MIN,PF,20,29.3,11.2,4.4,8.2,54.0,1.1,3.0,37.3,1.3,1.7,76.5,3.4,1.3,1.1,1.4,1.6,0,0
114,115,Caleb Martin,MIA,SF,24,32.2,11.1,4.3,9.1,47.7,1.5,3.6,40.7,1.0,1.3,76.7,4.7,1.9,1.2,0.4,1.2,0,0
115,116,Kentavious Caldwell-Pope,DEN,SG,23,31.1,11.0,3.9,8.4,46.4,2.1,4.6,45.7,1.1,1.4,78.1,2.9,2.1,1.2,0.4,1.3,0,0
116,116,Caris LeVert,CLE,SG,21,30.6,11.0,3.8,10.1,37.3,1.5,4.0,36.5,2.0,2.5,79.2,4.3,4.5,0.8,0.1,1.9,1,0
117,116,Kenyon Martin Jr.,HOU,F,24,24.5,11.0,4.2,7.8,54.3,0.9,2.8,32.4,1.7,2.4,69.0,5.1,1.4,0.4,0.4,1.2,2,0
118,119,De'Anthony Melton,PHI,SG,22,28.9,10.9,4.1,10.2,40.4,2.0,5.6,35.8,0.6,1.0,66.7,4.5,3.4,2.0,0.5,1.8,0,0
119,120,Grayson Allen,MIL,SG,20,27.0,10.9,3.4,7.4,45.6,2.0,4.6,43.5,2.2,2.4,91.5,3.5,2.6,0.8,0.3,1.3,0,0
120,121,Jalen Williams,OKC,F,20,25.6,10.8,4.4,8.2,53.4,0.7,2.3,30.4,1.4,1.8,80.0,3.3,2.5,0.6,0.4,1.6,1,0
121,122,Derrick White,BOS,PG,25,26.2,10.8,3.6,7.7,46.9,1.8,4.2,43.4,1.7,1.9,89.6,3.0,3.3,0.8,0.7,1.0,1,0
122,123,Ivica Zubac,LAC,C,25,30.4,10.7,4.2,6.8,62.7,0.0,0.0,0.0,2.2,3.2,67.9,11.5,1.2,0.4,1.7,2.2,10,0
123,124,Herbert Jones,NO,SF,17,28.2,10.6,3.7,8.4,44.4,0.8,2.9,28.6,2.4,3.2,74.1,3.7,2.1,1.2,0.8,1.2,0,0
124,125,Tyus Jones,MEM,PG,24,23.9,10.4,4.1,9.1,45.0,1.5,3.9,37.6,0.8,1.1,70.4,2.1,4.5,0.6,0.1,1.0,2,0
125,126,Ayo Dosunmu,CHI,SG,22,28.4,10.4,4.3,8.3,51.6,1.0,3.0,33.3,0.8,0.9,90.0,3.4,2.9,0.6,0.4,1.5,0,0
126,127,Austin Reaves,LAL,SG,23,28.6,10.3,3.2,6.2,52.1,1.0,2.9,36.4,2.8,3.1,91.5,3.1,1.9,0.4,0.3,1.0,0,0
127,128,Doug McDermott,SA,SF,20,20.7,10.3,3.9,8.3,47.3,2.0,4.8,40.6,0.5,0.8,62.5,1.9,1.5,0.1,0.2,1.0,0,0
128,129,Josh Richardson,SA,SG,17,22.8,10.2,3.5,8.6,40.4,1.7,4.7,36.3,1.6,1.9,84.4,2.2,3.0,0.7,0.1,1.7,1,0
129,130,Al Horford,BOS,C,20,31.6,10.2,4.0,7.4,53.7,2.1,4.4,46.6,0.3,0.4,62.5,6.3,2.8,0.5,1.0,0.8,2,0
